Section,Key,Context / Where it shows,English,Norwegian (current),Notes for Rami
onboarding,onboarding.steps.gender.female,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Woman,Kvinne,
onboarding,onboarding.steps.age.title,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Age,Alder,
onboarding,onboarding.steps.age.eyebrow,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",YOUR PROFILE,DIN PROFIL,
onboarding,onboarding.steps.age.heading,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",What year were you born?,Hvilket år ble du født?,
onboarding,onboarding.steps.age.description,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",To personalise your nutrition and calorie targets.,For å tilpasse ernæring og kaloriemål.,
onboarding,onboarding.steps.age.label,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Your birth year,Ditt fødselsår,
onboarding,onboarding.steps.level.title,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Level,Nivå,
onboarding,onboarding.steps.level.eyebrow,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",SELECT LEVEL,VELG NIVÅ,
onboarding,onboarding.steps.level.heading,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Where are you today?,Hvor er du i dag?,
onboarding,onboarding.steps.level.description,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",This determines your initial weights automatically.,Dette bestemmer startvektene dine automatisk.,
onboarding,onboarding.steps.level.options.beginner,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Beginner,Nybegynner,
onboarding,onboarding.steps.level.options.beginnerDesc,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",0–12 months of training.,0–12 måneder med trening.,
onboarding,onboarding.steps.level.options.intermediate,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Intermediate,Viderekommen,
onboarding,onboarding.steps.level.options.intermediateDesc,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",1–3 years of training.,1–3 år med trening.,
onboarding,onboarding.steps.level.options.advanced,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Advanced,Avansert,
onboarding,onboarding.steps.level.options.advancedDesc,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",3+ years of training,3+ år med trening,
onboarding,onboarding.steps.goal.title,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Goal,Mål,
onboarding,onboarding.steps.goal.eyebrow,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Primary Goal,Hovedmål,
onboarding,onboarding.steps.goal.heading,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",What drives you?,Hva driver deg?,
onboarding,onboarding.steps.goal.description,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",We build everything around your goal.,Vi bygger alt rundt målet ditt.,
onboarding,onboarding.steps.goal.options.buildMuscle,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Build Muscle,Bygge muskler,
onboarding,onboarding.steps.goal.options.buildMuscleDesc,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)","Mass, size, and strength combined","Masse, størrelse og styrke kombinert",
onboarding,onboarding.steps.goal.options.loseFat,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Lose Fat,Miste fett,
onboarding,onboarding.steps.goal.options.loseFatDesc,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Lean out while keeping muscle,Bli slankere mens du beholder muskler,
onboarding,onboarding.steps.goal.options.getStronger,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Get Stronger,Bli sterkere,
onboarding,onboarding.steps.goal.options.getStrongerDesc,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)","Raw power, compound focus",Rå kraft og fokus på baseøvelser,
onboarding,onboarding.steps.goal.options.generalFitness,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",General Fitness,Generell form,
onboarding,onboarding.steps.goal.options.generalFitnessDesc,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)","Health, energy, and consistency","Helse, energi og kontinuitet",
onboarding,onboarding.steps.focus.title,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Focus,Fokus,
onboarding,onboarding.steps.focus.eyebrow,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",FOCUS AREAS,FOKUSOMRÅDER,
onboarding,onboarding.steps.focus.heading,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Where Do you want to get Stronger?,Hvor vil du bli sterkere?,
onboarding,onboarding.steps.focus.description,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Choose one focus area.,Velg ett fokusområde.,
onboarding,onboarding.steps.focus.options.upperBody,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Upper Body,Overkropp,
onboarding,onboarding.steps.focus.options.lowerBody,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Lower Body,Underkropp,
onboarding,onboarding.steps.focus.options.fullBody,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Full Body,Hele kroppen,
onboarding,onboarding.steps.advancedFocus.title,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Focus,Fokus,
onboarding,onboarding.steps.advancedFocus.eyebrow,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",FOCUS AREAS,FOKUSOMRÅDER,
onboarding,onboarding.steps.advancedFocus.heading,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Where Do you want to get Stronger?,Hvor vil du bli sterkere?,
onboarding,onboarding.steps.advancedFocus.description,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Tap all that apply.,Trykk på alle som passer.,
onboarding,onboarding.steps.advancedFocus.tabs.front,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Front,Forside,
onboarding,onboarding.steps.advancedFocus.tabs.back,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Back,Bakside,
onboarding,onboarding.steps.advancedFocus.options.shoulders,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Shoulders,Skuldre,
onboarding,onboarding.steps.advancedFocus.options.back,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Back,Rygg,
onboarding,onboarding.steps.advancedFocus.options.triceps,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Triceps,Triceps,
onboarding,onboarding.steps.advancedFocus.options.traps,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Traps,Trapezius,
onboarding,onboarding.steps.advancedFocus.options.biceps,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Biceps,Biceps,
onboarding,onboarding.steps.advancedFocus.options.chest,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Chest,Bryst,
onboarding,onboarding.steps.advancedFocus.options.forearms,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Forearms,Underarmer,
onboarding,onboarding.steps.advancedFocus.options.glutes,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Glutes,Setemuskler,
onboarding,onboarding.steps.advancedFocus.options.hamstrings,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Hamstrings,Bakside lår,
onboarding,onboarding.steps.advancedFocus.options.calves,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Calves,Legger,
onboarding,onboarding.steps.advancedFocus.options.neck,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Neck,Nakke,
onboarding,onboarding.steps.advancedFocus.options.legs,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Legs,Bein,
onboarding,onboarding.steps.advancedFocus.options.quads,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Quads,Forside lår,
onboarding,onboarding.steps.advancedFocus.options.abs,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Abs,Mage,
onboarding,onboarding.steps.friction.title,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Friction,Friksjon,
onboarding,onboarding.steps.friction.eyebrow,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",PRIMARY FRICTION,PRIMÆR FRIKSJON,
onboarding,onboarding.steps.friction.heading,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",What stops you from reaching your Goal?,Hva stopper deg fra å nå målet ditt?,
onboarding,onboarding.steps.friction.description,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",We'll build ERA around removing this barrier.,Vi bygger ERA rundt å fjerne denne barrieren.,
onboarding,onboarding.steps.friction.options.structure,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",I lack Structure,Jeg mangler struktur,
onboarding,onboarding.steps.friction.options.time,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",I don’t have time,Jeg har ikke tid,
onboarding,onboarding.steps.friction.options.guidance,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",I don’t know what to do,Jeg vet ikke hva jeg skal gjøre,
onboarding,onboarding.steps.friction.options.injuries,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Injuries hold me back,Skader holder meg tilbake,
onboarding,onboarding.steps.weight.title,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Weight,Vekt,
onboarding,onboarding.steps.weight.eyebrow,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",CURRENT BODY METRICS,KROPPSMÅL,
onboarding,onboarding.steps.weight.heading,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",What’s your weight?,Hva veier du?,
onboarding,onboarding.steps.weight.description,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",This us helps adjust workouts to fit your body.,Dette hjelper oss å tilpasse treningen til kroppen din.,
onboarding,onboarding.steps.height.title,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Height,Høyde,
onboarding,onboarding.steps.height.eyebrow,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",CURRENT BODY METRICS,KROPPSMÅL,
onboarding,onboarding.steps.height.heading,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",What’s your Height?,Hva er høyden din?,
onboarding,onboarding.steps.height.description,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",This us helps adjust workouts to fit your body.,Dette hjelper oss å tilpasse treningen til kroppen din.,
onboarding,onboarding.steps.height.bmi.label,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Your BMI,Din BMI,
onboarding,onboarding.steps.height.bmi.below,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Your BMI is below normal range - you need to gain weight for a healthier you.,BMI-en din er under normalområdet - du bør gå opp i vekt for bedre helse.,
onboarding,onboarding.steps.height.bmi.healthy,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)","Your BMI is in a healthy range - keep it up for a stronger, healthier you.",BMI-en din er i et sunt område - fortsett slik for en sterkere og sunnere kropp.,
onboarding,onboarding.steps.height.bmi.overweight,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Your BMI is in the overweight range - a balanced diet and exercise can help.,BMI-en din er i overvektsområdet - et balansert kosthold og trening kan hjelpe.,
onboarding,onboarding.steps.height.bmi.obese,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Your BMI is in the obese range - consider consulting a healthcare provider.,BMI-en din er i fedmeområdet - vurder å snakke med helsepersonell.,
onboarding,onboarding.steps.paywall.title,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Unlimited,Ubegrenset,
onboarding,onboarding.steps.paywall.eyebrow,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",,,
onboarding,onboarding.steps.paywall.heading,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Get Unlimited Experience.,Få ubegrenset opplevelse.,
onboarding,onboarding.steps.paywall.description,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",,,
onboarding,onboarding.steps.paywall.placeholderTitle,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Paywall,Betalingsside,
onboarding,onboarding.steps.paywall.placeholderSubtitle,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Coming soon,Kommer snart,
onboarding,onboarding.steps.paywall.loading,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Loading plans...,Laster abonnementer...,
onboarding,onboarding.steps.paywall.retry,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Try again,Prøv igjen,
onboarding,onboarding.steps.paywall.empty,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Plans are unavailable right now. Please try again shortly.,Abonnementene er utilgjengelige akkurat nå. Prøv igjen om litt.,
onboarding,onboarding.steps.paywall.tierToggle.standard,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Standard,Standard,
onboarding,onboarding.steps.paywall.tierToggle.pro,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Pro,Pro,
onboarding,onboarding.steps.paywall.period.monthly,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Monthly,Månedlig,
onboarding,onboarding.steps.paywall.period.annual,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Annual,Årlig,
onboarding,onboarding.steps.paywall.period.perMonth,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",/ month,/ måned,
onboarding,onboarding.steps.paywall.period.perYear,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",/ year,/ år,
onboarding,onboarding.steps.paywall.annualBadge,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Best value,Beste verdi,
onboarding,onboarding.steps.paywall.cta,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Start subscription,Start abonnement,
onboarding,onboarding.steps.paywall.ctaActive,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",You're subscribed,Du er abonnent,
onboarding,onboarding.steps.paywall.restore,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Restore purchases,Gjenopprett kjøp,
onboarding,onboarding.steps.paywall.skip,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Maybe later,Kanskje senere,
onboarding,onboarding.steps.paywall.success,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Subscription active,Abonnementet er aktivt,
onboarding,onboarding.steps.paywall.errors.purchaseFailed,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Purchase failed. Please try again.,Kjøpet mislyktes. Prøv igjen.,
onboarding,onboarding.steps.paywall.errors.restoreFailed,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Nothing to restore.,Ingen kjøp å gjenopprette.,
onboarding,onboarding.steps.calories.title,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Calories,Kalorier,
onboarding,onboarding.steps.calories.leadingText,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Pick a starting ,Velg et startpunkt for ,
onboarding,onboarding.steps.calories.highlightedText,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",daily target,daglig mål,
onboarding,onboarding.steps.calories.trailingText,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",.,.,
onboarding,onboarding.steps.calories.options.kcal1800,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",1800 kcal,1800 kcal,
onboarding,onboarding.steps.calories.options.kcal2100,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",2100 kcal,2100 kcal,
onboarding,onboarding.steps.calories.options.kcal2400,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",2400 kcal,2400 kcal,
onboarding,onboarding.steps.calories.options.customLater,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Custom later,Tilpass senere,
onboarding,onboarding.steps.screenTime.title,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Screen Time,Skjermtid,
onboarding,onboarding.steps.screenTime.leadingText,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",How much time can ERA plan around ,Hvor mye tid kan ERA planlegge rundt ,
onboarding,onboarding.steps.screenTime.highlightedText,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",each day,hver dag,
onboarding,onboarding.steps.screenTime.trailingText,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",?,?,
onboarding,onboarding.steps.screenTime.options.minutes30,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",30 minutes,30 minutter,
onboarding,onboarding.steps.screenTime.options.minutes45,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",45 minutes,45 minutter,
onboarding,onboarding.steps.screenTime.options.minutes60,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",60 minutes,60 minutter,
onboarding,onboarding.steps.screenTime.options.minutes90,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",90 minutes,90 minutter,
onboarding,onboarding.steps.preview.title,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Plan,Plan,
onboarding,onboarding.steps.preview.leadingText,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Your setup is ,Oppsettet ditt er ,
onboarding,onboarding.steps.preview.highlightedText,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",ready,klart,
onboarding,onboarding.steps.preview.trailingText,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",.,.,
onboarding,onboarding.steps.preview.heading,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Get Unlimited Experience.,Få ubegrenset opplevelse.,
onboarding,onboarding.steps.preview.body,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)","Your onboarding answers are ready. ERA can now create a plan around your goals, focus, and friction points.","Svarene dine er klare. ERA kan nå lage en plan rundt målene, fokuset og hindringene dine.",
planGeneration,planGeneration.title,Loading screen while plan is built after onboarding,Plan Generation,Planlegging,
planGeneration,planGeneration.headingLine1,Loading screen while plan is built after onboarding,"Your Journey to a Stronger, Healthier You ","Din reise til en sterkere, sunnere deg ",
planGeneration,planGeneration.headingLine2,Loading screen while plan is built after onboarding,Starts Here.,Starter her.,
planGeneration,planGeneration.description,Loading screen while plan is built after onboarding,"Our personalized plan is on the way, tailored to your fitness journey.","Din personlige plan er på vei, skreddersydd for din treningsreise.",
planGeneration,planGeneration.estimatedTime,Loading screen while plan is built after onboarding,Estimated Time,Estimert tid,
planGeneration,planGeneration.steps.analysingLevel,Loading screen while plan is built after onboarding,Analysing your Training Level,Analyserer treningsnivået ditt,
planGeneration,planGeneration.steps.creatingProgram,Loading screen while plan is built after onboarding,Creating Tailored Program for you,Lager skreddersydd program for deg,
planGeneration,planGeneration.steps.buildingStructure,Loading screen while plan is built after onboarding,Building your 12 week Structure,Bygger din 12-ukers struktur,
planGeneration,planGeneration.steps.calculatingWeights,Loading screen while plan is built after onboarding,Calculating Your Starting Weights,Beregner startvektene dine,
planGeneration,planGeneration.steps.preparingDiet,Loading screen while plan is built after onboarding,Preparing Your Diet Plan,Forbereder kostholdsplanen din,
planGeneration,planGeneration.steps.programReady,Loading screen while plan is built after onboarding,Your ERA Program is Ready,ERA-programmet ditt er klart,
planGeneration,planGeneration.actions.retry,Loading screen while plan is built after onboarding,Retry,Prøv igjen,
tabs,tabs.workout,Bottom tab bar labels,Workout,Trening,
tabs,tabs.weights,Bottom tab bar labels,Weights,Vekter,
tabs,tabs.nutrition,Bottom tab bar labels,Nutrition,Ernæring,
tabs,tabs.progress,Bottom tab bar labels,Progress,Fremgang,
screens,screens.settings,Top-of-screen titles,Settings,Innstillinger,
screens,screens.profile,Top-of-screen titles,Profile,Profil,
screens,screens.notifications,Top-of-screen titles,Notifications,Varsler,
twelveWeekCompletion,twelveWeekCompletion.title,Screen shown after completing 12 weeks,"You Finished.
Now you are Stronger!","Du er ferdig.
Nå er du sterkere!",
twelveWeekCompletion,twelveWeekCompletion.weekComplete,Screen shown after completing 12 weeks,Week 12 Complete,Uke 12 fullført,
twelveWeekCompletion,twelveWeekCompletion.statSessions,Screen shown after completing 12 weeks,Sessions,Økter,
twelveWeekCompletion,twelveWeekCompletion.statPrs,Screen shown after completing 12 weeks,PRs Achieved,PR-er oppnådd,
twelveWeekCompletion,twelveWeekCompletion.statPoints,Screen shown after completing 12 weeks,ERA Points,ERA-poeng,
twelveWeekCompletion,twelveWeekCompletion.recap,Screen shown after completing 12 weeks,"12 weeks. 72 sessions.
Every rep built the real you.","12 uker. 72 økter.
Hver repetisjon bygde den ekte deg.",
twelveWeekCompletion,twelveWeekCompletion.cta,Screen shown after completing 12 weeks,What's Next?,Hva er neste?,
twelveWeekCompletion,twelveWeekCompletion.devTestButton,Screen shown after completing 12 weeks,12-Week Completion,12-ukers fullføring,
cycle2Begins,cycle2Begins.title,Screen shown when starting next 12-week cycle,Cycle 2 Begins,Syklus 2 starter,
